"","fluregion","year","week","date","cases","h1","h3","h5","h1n1","a_total","b_total","processed_samples","inf_a_prop","inf_b_prop","pop","cases_by_100k","theta","sin_f1","cos_f1","week_2","week_3","week_4","week_5","year1","week1","date1","cases1","h11","h31","h51","h1n11","a_total1","b_total1","processed_samples1","inf_a_prop1","inf_b_prop1","pop1","cases_by_100k1","theta1","sin_f11","cos_f11","week_21","week_31","week_41","week_51","y0","y0_ul"
"2050","Temperate South America","2012",20,2012-05-20,48,0,30,0,11,42,6,2463,0.0170523751522534,0.00243605359317905,24445466949.4286,0.000196355422865514,0.769230769230769,0.695582793748033,0.718445945803636,400,8000,160000,3200000,"2012",20,2012-05-20,48,0,30,0,11,42,6,2463,0.0170523751522534,0.00243605359317905,24445466949.4286,0.000196355422865514,0.769230769230769,0.695582793748033,0.718445945803636,400,8000,160000,3200000,0.000745817749505662,0.00291028822375947
"2051","Temperate South America","2012",21,2012-05-27,52,0,29,0,16,46,6,2741,0.0167821962787304,0.00218898212331266,24445466949.4286,0.000212718374770974,0.807692307692308,0.722694096978056,0.691168027467324,441,9261,194481,4084101,"2012",21,2012-05-27,52,0,29,0,16,46,6,2741,0.0167821962787304,0.00218898212331266,24445466949.4286,0.000212718374770974,0.807692307692308,0.722694096978056,0.691168027467324,441,9261,194481,4084101,0.000934372899882518,0.0030990755478619
"2052","Temperate South America","2012",22,2012-06-03,93,0,44,0,27,76,17,3702,0.0205294435440303,0.00459211237169098,24445466949.4286,0.000380438631801934,0.846153846153846,0.74873645788284,0.662867797254519,484,10648,234256,5153632,"2012",22,2012-06-03,93,0,44,0,27,76,17,3702,0.0205294435440303,0.00459211237169098,24445466949.4286,0.000380438631801934,0.846153846153846,0.74873645788284,0.662867797254519,484,10648,234256,5153632,0.00111762061034781,0.00328222833086095
"2053","Temperate South America","2012",23,2012-06-10,130,0,61,0,45,113,17,4563,0.024764409379794,0.0037256191102345,24445466949.4286,0.000531795936927434,0.884615384615385,0.773671357008667,0.633587114250572,529,12167,279841,6436343,"2012",23,2012-06-10,130,0,61,0,45,113,17,4563,0.024764409379794,0.0037256191102345,24445466949.4286,0.000531795936927434,0.884615384615385,0.773671357008667,0.633587114250572,529,12167,279841,6436343,0.00128905767756216,0.00345325151142367
"2054","Temperate South America","2012",24,2012-06-17,161,0,81,0,49,140,21,5161,0.02712652586708,0.004068978880062,24445466949.4286,0.000658608814194746,0.923076923076923,0.797461912956944,0.603369287736002,576,13824,331776,7962624,"2012",24,2012-06-17,161,0,81,0,49,140,21,5161,0.02712652586708,0.004068978880062,24445466949.4286,0.000658608814194746,0.923076923076923,0.797461912956944,0.603369287736002,576,13824,331776,7962624,0.00144260267952134,0.00360619202530781
"2055","Temperate South America","2012",25,2012-06-24,186,0,91,0,52,159,27,5090,0.031237721021611,0.00530451866404715,24445466949.4286,0.000760877263603868,0.961538461538462,0.820072936935761,0.572259013127408,625,15625,390625,9765625,"2012",25,2012-06-24,186,0,91,0,52,159,27,5090,0.031237721021611,0.00530451866404715,24445466949.4286,0.000760877263603868,0.961538461538462,0.820072936935761,0.572259013127408,625,15625,390625,9765625,0.0015728006068656,0.00373579201247805
"2056","Temperate South America","2012",26,2012-07-01,247,0,131,0,66,221,26,5859,0.0377197473971667,0.00443761734084315,24445466949.4286,0.00101041228016213,1,0.841470984807897,0.54030230586814,676,17576,456976,11881376,"2012",26,2012-07-01,247,0,131,0,66,221,26,5859,0.0377197473971667,0.00443761734084315,24445466949.4286,0.00101041228016213,1,0.841470984807897,0.54030230586814,676,17576,456976,11881376,0.00167500751556737,0.0038376037645834
"2057","Temperate South America","2012",27,2012-07-08,201,0,112,0,36,161,40,4913,0.032770201506208,0.00814166497048647,24445466949.4286,0.000822238333249341,1.03846153846154,0.861624406558297,0.507546433366507,729,19683,531441,14348907,"2012",27,2012-07-08,201,0,112,0,36,161,40,4913,0.032770201506208,0.00814166497048647,24445466949.4286,0.000822238333249341,1.03846153846154,0.861624406558297,0.507546433366507,729,19683,531441,14348907,0.00174555201206239,0.0039080852811153
"2058","Temperate South America","2012",28,2012-07-15,247,0,120,0,49,204,43,4875,0.0418461538461538,0.00882051282051282,24445466949.4286,0.00101041228016213,1.07692307692308,0.880503393107856,0.474039845082196,784,21952,614656,17210368,"2012",28,2012-07-15,247,0,120,0,49,204,43,4875,0.0418461538461538,0.00882051282051282,24445466949.4286,0.00101041228016213,1.07692307692308,0.880503393107856,0.474039845082196,784,21952,614656,17210368,0.00178187041613587,0.00394469305525621
"2059","Temperate South America","2012",29,2012-07-22,191,0,85,0,44,154,37,4529,0.0340030911901082,0.00816957385736366,24445466949.4286,0.000781330953485692,1.11538461538462,0.898080020404246,0.439832100864306,841,24389,707281,20511149,"2012",29,2012-07-22,191,0,85,0,44,154,37,4529,0.0340030911901082,0.00816957385736366,24445466949.4286,0.000781330953485692,1.11538461538462,0.898080020404246,0.439832100864306,841,24389,707281,20511149,0.00178261248576117,0.0039459813842889
"2060","Temperate South America","2012",30,2012-07-29,182,0,76,0,45,151,31,4028,0.0374875868917577,0.0076961271102284,24445466949.4286,0.000744514311698408,1.15384615384615,0.914328290724598,0.404973797647001,900,27000,810000,24300000,"2012",30,2012-07-29,182,0,76,0,45,151,31,4028,0.0374875868917577,0.0076961271102284,24445466949.4286,0.000744514311698408,1.15384615384615,0.914328290724598,0.404973797647001,900,27000,810000,24300000,0.00174771463164358,0.00391170695949264
"2061","Temperate South America","2012",31,2012-08-05,189,0,75,0,39,139,50,3489,0.0398394955574663,0.0143307537976498,24445466949.4286,0.000773149477532962,1.19230769230769,0.929224171128932,0.369516494611201,961,29791,923521,28629151,"2012",31,2012-08-05,189,0,75,0,39,139,50,3489,0.0398394955574663,0.0143307537976498,24445466949.4286,0.000773149477532962,1.19230769230769,0.929224171128932,0.369516494611201,961,29791,923521,28629151,0.00167843759743302,0.0038429264849289
